gene	num_snps	num_mirs	num_diseases	auto_reg
TGIF2	14	32	1	auto_regulate
MAFK	18	18	1	no_feedback
TCF7	22	3	1	auto_regulate
SUZ12	6	25	1	no_feedback
TFDP1	15	10	1	no_feedback
HMBOX1	19	5	1	auto_regulate
OCA2	3	1	1	no_feedback
ARID3A	14	24	1	auto_regulate
XBP1	6	1	1	no_feedback
CEBPA	8	20	1	no_feedback
HNF4A	15	10	1	no_feedback
ARID1B	12	12	1	no_feedback
NME2	5	1	1	auto_regulate
PAX8	13	8	1	auto_regulate
MAFG	11	1	1	no_feedback
PML	1	1	1	auto_regulate
NFE2L1	9	16	1	no_feedback
STAT5A	6	1	1	no_feedback
ZNF24	30	5	1	auto_regulate
TEAD1	32	70	1	auto_regulate
CREB3	2	1	1	no_feedback
NFRKB	3	1	1	no_feedback
MIER1	25	27	1	auto_regulate
NR2C2	20	65	1	auto_regulate
DDX20	4	1	1	no_feedback
ZEB2	5	1	1	auto_regulate
NR4A1	6	3	1	no_feedback
IRF9	10	20	1	auto_regulate
ZBTB11	7	23	1	no_feedback
ZNF274	1	5	1	auto_regulate
ZNF639	4	1	1	no_feedback
IKZF1	27	20	1	auto_regulate
ZNF197	3	2	1	no_feedback
PPARG	1	7	1	auto_regulate
STAT2	12	3	1	auto_regulate
ZNF644	3	31	1	auto_regulate
L3MBTL2	7	1	1	no_feedback
E2F5	5	46	1	no_feedback
DIDO1	21	1	1	auto_regulate
RBPJ	1	6	1	auto_regulate
CSNK2A1	7	2	1	no_feedback
POU4F2	13	1	1	auto_regulate
ZBTB16	3	1	1	auto_regulate
SNAPC1	10	10	1	no_feedback
PYGO2	4	17	1	no_feedback
CDK6	61	57	1	auto_regulate
ARNTL	2	5	1	no_feedback
TAF1	2	1	1	auto_regulate
FOXA1	15	4	1	auto_regulate
FOXA2	10	3	1	no_feedback
NANOG	8	1	1	no_feedback
ARID2	11	36	1	auto_regulate
ARID1A	7	10	1	auto_regulate
NFATC1	24	5	1	auto_regulate
SFMBT1	4	8	1	no_feedback
TOP1	10	11	1	auto_regulate
LMO2	7	9	1	auto_regulate
GLYR1	7	22	1	auto_regulate
NCOA2	6	14	1	auto_regulate
NCOR2	12	18	1	auto_regulate
MAFB	10	19	1	no_feedback
PALB2	1	1	1	no_feedback
ELF5	19	1	1	no_feedback
RUNX3	20	34	1	auto_regulate
BATF	2	1	1	auto_regulate
RFX1	10	16	1	auto_regulate
GATAD1	28	1	1	no_feedback
FOXM1	6	3	1	no_feedback
CHD7	5	51	1	no_feedback
RUNX1T1	73	23	1	no_feedback
ASXL1	12	19	1	no_feedback
TBX21	7	3	2	auto_regulate
NELFA	0	0	0	auto_regulate
RELB	2	1	1	auto_regulate
ETV6	71	25	1	auto_regulate
MEF2A	36	11	1	auto_regulate
SNAPC4	2	1	1	no_feedback
SIX2	3	7	1	no_feedback
PDX1	14	1	1	auto_regulate
SPIB	9	1	1	auto_regulate
SOX9	24	13	1	no_feedback
GRHL2	35	37	1	auto_regulate
CBFA2T2	27	18	1	auto_regulate
TERF2	7	1	1	auto_regulate
ARRB1	6	3	1	auto_regulate
NKX3-1	25	1	1	auto_regulate
STAT5B	17	10	1	no_feedback
NRIP1	43	25	1	auto_regulate
PBX3	16	49	1	auto_regulate
TLE3	21	7	1	auto_regulate
RAC3	2	1	1	no_feedback
TCF4	41	48	1	no_feedback
ZNF207	4	9	1	no_feedback
GTF2B	5	6	1	no_feedback
RXRA	81	13	1	auto_regulate
CDX2	3	8	1	auto_regulate
ELK1	8	9	1	auto_regulate
LYL1	1	1	1	auto_regulate
CTNNB1	19	3	1	no_feedback
RFX2	9	5	1	no_feedback
KAT2B	9	30	1	no_feedback
NR2F6	3	4	1	auto_regulate
CXXC4	1	1	1	no_feedback
TAF2	1	1	1	auto_regulate
