mir	auto	count
hsa-miR-92a-3p	auto_regulate	39
hsa-miR-92a-3p	no_feedback	32
hsa-miR-433-3p	auto_regulate	4
hsa-miR-433-3p	no_feedback	2
hsa-miR-494-3p	auto_regulate	9
hsa-miR-494-3p	no_feedback	3
hsa-let-7b-5p	auto_regulate	33
hsa-let-7b-5p	no_feedback	32
hsa-miR-605-5p	auto_regulate	6
hsa-miR-605-5p	no_feedback	3
hsa-miR-376a-5p	auto_regulate	3
hsa-miR-30a-3p	auto_regulate	10
hsa-miR-30a-3p	no_feedback	2
hsa-miR-27b-3p	auto_regulate	18
hsa-miR-27b-3p	no_feedback	13
hsa-miR-23a-3p	no_feedback	8
hsa-miR-23a-3p	auto_regulate	13
hsa-miR-19a-3p	auto_regulate	20
hsa-miR-19a-3p	no_feedback	11
hsa-miR-126-5p	no_feedback	3
hsa-miR-126-5p	auto_regulate	8
hsa-miR-103a-3p	no_feedback	6
hsa-miR-103a-3p	auto_regulate	9
hsa-miR-520c-3p	no_feedback	10
hsa-miR-520c-3p	auto_regulate	15
hsa-miR-135b-5p	auto_regulate	6
hsa-miR-135b-5p	no_feedback	2
hsa-miR-30a-5p	auto_regulate	20
hsa-miR-30a-5p	no_feedback	17
hsa-miR-129-5p	auto_regulate	22
hsa-miR-129-5p	no_feedback	12
hsa-miR-320a	no_feedback	16
hsa-miR-320a	auto_regulate	21
hsa-miR-510-5p	auto_regulate	4
hsa-miR-510-5p	no_feedback	1
hsa-miR-22-3p	auto_regulate	12
hsa-miR-22-3p	no_feedback	5
hsa-let-7d-5p	no_feedback	7
hsa-let-7d-5p	auto_regulate	11
hsa-miR-10b-5p	auto_regulate	14
hsa-miR-10b-5p	no_feedback	7
hsa-let-7e-5p	no_feedback	10
hsa-let-7e-5p	auto_regulate	18
hsa-miR-378a-5p	no_feedback	8
hsa-miR-378a-5p	auto_regulate	7
hsa-miR-99a-5p	auto_regulate	1
hsa-miR-99a-5p	no_feedback	2
hsa-miR-99b-5p	auto_regulate	3
hsa-miR-193a-3p	no_feedback	1
hsa-miR-193a-3p	auto_regulate	6
hsa-miR-137	no_feedback	6
hsa-miR-137	auto_regulate	13
hsa-miR-338-3p	auto_regulate	6
hsa-miR-338-3p	no_feedback	1
hsa-let-7i-5p	auto_regulate	9
hsa-let-7i-5p	no_feedback	6
hsa-miR-144-3p	auto_regulate	17
hsa-miR-144-3p	no_feedback	5
hsa-miR-449a	auto_regulate	11
hsa-miR-449a	no_feedback	7
hsa-miR-30d-5p	auto_regulate	16
hsa-miR-30d-5p	no_feedback	9
hsa-miR-186-5p	auto_regulate	20
hsa-miR-186-5p	no_feedback	16
hsa-miR-183-5p	auto_regulate	12
hsa-miR-183-5p	no_feedback	7
hsa-miR-30e-5p	no_feedback	10
hsa-miR-30e-5p	auto_regulate	13
hsa-miR-34b-3p	auto_regulate	8
hsa-miR-34b-3p	no_feedback	4
hsa-miR-181d-5p	no_feedback	8
hsa-miR-181d-5p	auto_regulate	8
hsa-miR-489-3p	auto_regulate	5
hsa-miR-302b-3p	auto_regulate	16
hsa-miR-302b-3p	no_feedback	11
hsa-miR-194-5p	no_feedback	3
hsa-miR-194-5p	auto_regulate	6
hsa-miR-26b-5p	no_feedback	24
hsa-miR-26b-5p	auto_regulate	43
hsa-miR-301a-3p	no_feedback	4
hsa-miR-301a-3p	auto_regulate	11
hsa-miR-302a-3p	auto_regulate	16
hsa-miR-302a-3p	no_feedback	12
hsa-miR-33b-5p	auto_regulate	3
hsa-miR-33b-5p	no_feedback	1
hsa-miR-33a-5p	auto_regulate	11
hsa-miR-33a-5p	no_feedback	3
hsa-miR-519a-3p	no_feedback	4
hsa-miR-519a-3p	auto_regulate	14
hsa-miR-488-5p	auto_regulate	4
hsa-miR-488-5p	no_feedback	1
hsa-miR-199a-5p	auto_regulate	7
hsa-miR-199a-5p	no_feedback	7
hsa-miR-147a	auto_regulate	8
hsa-miR-147a	no_feedback	4
hsa-miR-134-5p	no_feedback	4
hsa-miR-134-5p	auto_regulate	1
hsa-miR-212-3p	auto_regulate	7
hsa-miR-212-3p	no_feedback	2
hsa-miR-9-3p	auto_regulate	6
hsa-miR-9-3p	no_feedback	1
hsa-miR-513a-5p	no_feedback	6
hsa-miR-513a-5p	auto_regulate	8
hsa-miR-424-3p	auto_regulate	2
hsa-miR-424-3p	no_feedback	1
hsa-miR-17-3p	auto_regulate	4
hsa-miR-17-3p	no_feedback	3
hsa-miR-185-5p	auto_regulate	13
hsa-miR-185-5p	no_feedback	10
hsa-miR-584-5p	auto_regulate	2
hsa-miR-584-5p	no_feedback	2
hsa-miR-92b-3p	no_feedback	14
hsa-miR-92b-3p	auto_regulate	12
hsa-miR-483-3p	no_feedback	4
hsa-miR-483-3p	auto_regulate	7
hsa-miR-192-5p	auto_regulate	27
hsa-miR-192-5p	no_feedback	18
hsa-miR-626	no_feedback	1
hsa-miR-626	auto_regulate	1
hsa-miR-520g-3p	no_feedback	8
hsa-miR-520g-3p	auto_regulate	7
hsa-miR-127-3p	no_feedback	2
hsa-miR-127-3p	auto_regulate	1
hsa-miR-491-5p	no_feedback	4
hsa-miR-491-5p	auto_regulate	11
hsa-miR-450a-5p	no_feedback	1
hsa-miR-450a-5p	auto_regulate	1
hsa-miR-512-5p	no_feedback	2
hsa-miR-512-5p	auto_regulate	6
hsa-miR-383-5p	auto_regulate	3
hsa-miR-383-5p	no_feedback	2
hsa-miR-219a-5p	no_feedback	1
hsa-miR-219a-5p	auto_regulate	1
hsa-miR-361-5p	no_feedback	6
hsa-miR-361-5p	auto_regulate	6
hsa-miR-151a-5p	no_feedback	2
hsa-miR-151a-5p	auto_regulate	2
hsa-miR-16-2-3p	auto_regulate	5
hsa-miR-16-2-3p	no_feedback	1
hsa-miR-146b-5p	auto_regulate	3
hsa-miR-146b-5p	no_feedback	1
hsa-miR-296-5p	auto_regulate	3
hsa-miR-374a-5p	no_feedback	4
hsa-miR-374a-5p	auto_regulate	14
hsa-miR-23b-5p	auto_regulate	2
hsa-miR-23b-5p	no_feedback	3
hsa-miR-301b-3p	no_feedback	4
hsa-miR-301b-3p	auto_regulate	12
hsa-miR-198	auto_regulate	7
hsa-miR-198	no_feedback	2
hsa-miR-590-5p	no_feedback	2
hsa-miR-590-5p	auto_regulate	2
hsa-miR-486-5p	no_feedback	1
hsa-miR-486-5p	auto_regulate	4
hsa-miR-499a-5p	auto_regulate	3
hsa-miR-499a-5p	no_feedback	2
hsa-miR-518a-5p	auto_regulate	1
hsa-miR-518a-5p	no_feedback	2
hsa-miR-582-5p	no_feedback	3
hsa-miR-582-5p	auto_regulate	6
hsa-miR-324-3p	auto_regulate	8
hsa-miR-324-3p	no_feedback	6
hsa-miR-191-5p	auto_regulate	6
hsa-miR-191-5p	no_feedback	1
hsa-miR-30c-5p	no_feedback	16
hsa-miR-30c-5p	auto_regulate	20
hsa-miR-876-3p	auto_regulate	2
hsa-miR-892b	auto_regulate	6
hsa-miR-892b	no_feedback	2
hsa-miR-148b-5p	no_feedback	2
hsa-miR-675-5p	no_feedback	3
hsa-miR-675-5p	auto_regulate	4
hsa-miR-631	auto_regulate	1
hsa-miR-631	no_feedback	2
hsa-miR-569	auto_regulate	3
hsa-miR-569	no_feedback	1
hsa-miR-603	auto_regulate	15
hsa-miR-603	no_feedback	7
hsa-miR-769-5p	auto_regulate	5
hsa-miR-769-5p	no_feedback	1
hsa-miR-617	no_feedback	1
hsa-miR-384	auto_regulate	4
hsa-miR-384	no_feedback	3
hsa-miR-625-5p	no_feedback	4
hsa-miR-625-5p	auto_regulate	10
hsa-miR-509-3p	auto_regulate	2
hsa-miR-632	auto_regulate	3
hsa-miR-521	no_feedback	1
hsa-miR-190a-5p	auto_regulate	2
hsa-miR-188-5p	auto_regulate	1
hsa-miR-663a	no_feedback	3
hsa-miR-663a	auto_regulate	5
hsa-miR-149-3p	auto_regulate	17
hsa-miR-149-3p	no_feedback	14
hsa-miR-542-3p	no_feedback	4
hsa-miR-542-3p	auto_regulate	2
hsa-miR-340-5p	no_feedback	7
hsa-miR-340-5p	auto_regulate	9
hsa-miR-885-5p	no_feedback	3
hsa-miR-1285-3p	auto_regulate	3
hsa-miR-1285-3p	no_feedback	1
hsa-miR-612	auto_regulate	4
hsa-miR-612	no_feedback	1
hsa-miR-1226-3p	no_feedback	4
hsa-miR-1226-3p	auto_regulate	1
hsa-miR-409-3p	auto_regulate	6
hsa-miR-409-3p	no_feedback	1
hsa-miR-1258	auto_regulate	2
hsa-miR-1258	no_feedback	1
hsa-miR-146b-3p	no_feedback	1
hsa-miR-101-5p	no_feedback	3
hsa-miR-101-5p	auto_regulate	3
hsa-miR-630	auto_regulate	5
hsa-miR-630	no_feedback	1
hsa-miR-215-5p	auto_regulate	25
hsa-miR-215-5p	no_feedback	14
hsa-miR-193a-5p	auto_regulate	4
hsa-miR-193a-5p	no_feedback	3
hsa-miR-448	no_feedback	1
hsa-miR-448	auto_regulate	2
hsa-miR-24-1-5p	no_feedback	3
hsa-miR-154-5p	no_feedback	4
hsa-miR-154-5p	auto_regulate	1
hsa-miR-522-3p	auto_regulate	2
hsa-miR-522-3p	no_feedback	1
hsa-miR-1256	no_feedback	1
hsa-miR-151a-3p	auto_regulate	1
hsa-miR-151a-3p	no_feedback	2
hsa-miR-616-3p	auto_regulate	1
hsa-miR-616-3p	no_feedback	1
hsa-miR-376c-3p	auto_regulate	4
hsa-miR-376c-3p	no_feedback	3
hsa-miR-376a-3p	no_feedback	1
hsa-miR-376a-3p	auto_regulate	2
hsa-miR-376b-3p	auto_regulate	1
hsa-miR-412-3p	auto_regulate	3
hsa-miR-331-3p	auto_regulate	9
hsa-miR-331-3p	no_feedback	7
hsa-miR-155-3p	auto_regulate	4
hsa-miR-342-3p	no_feedback	5
hsa-miR-342-3p	auto_regulate	12
hsa-miR-488-3p	auto_regulate	3
hsa-miR-488-3p	no_feedback	2
hsa-miR-339-5p	auto_regulate	7
hsa-miR-339-5p	no_feedback	3
hsa-miR-211-5p	auto_regulate	15
hsa-miR-211-5p	no_feedback	4
hsa-miR-369-5p	no_feedback	1
hsa-miR-608	auto_regulate	10
hsa-miR-608	no_feedback	4
hsa-miR-516a-3p	no_feedback	1
hsa-miR-371a-3p	auto_regulate	1
hsa-miR-371a-3p	no_feedback	1
hsa-miR-593-5p	auto_regulate	4
hsa-miR-542-5p	no_feedback	1
hsa-miR-613	no_feedback	1
hsa-miR-613	auto_regulate	1
hsa-miR-492	auto_regulate	1
hsa-miR-497-5p	auto_regulate	11
hsa-miR-497-5p	no_feedback	13
hsa-miR-140-3p	auto_regulate	6
hsa-miR-140-3p	no_feedback	5
hsa-miR-708-5p	auto_regulate	7
hsa-miR-708-5p	no_feedback	1
hsa-miR-216b-5p	no_feedback	5
hsa-miR-216b-5p	auto_regulate	5
hsa-miR-637	auto_regulate	5
hsa-miR-637	no_feedback	1
hsa-miR-483-5p	auto_regulate	3
hsa-miR-483-5p	no_feedback	3
hsa-miR-671-5p	no_feedback	5
hsa-miR-671-5p	auto_regulate	3
hsa-miR-622	auto_regulate	2
hsa-miR-622	no_feedback	1
hsa-miR-365a-3p	auto_regulate	6
hsa-miR-365a-3p	no_feedback	2
hsa-miR-34a-3p	no_feedback	4
hsa-miR-34a-3p	auto_regulate	5
hsa-miR-766-3p	no_feedback	8
hsa-miR-766-3p	auto_regulate	8
hsa-miR-30c-1-3p	auto_regulate	11
hsa-miR-30c-1-3p	no_feedback	2
hsa-miR-19b-1-5p	no_feedback	2
hsa-miR-19b-1-5p	auto_regulate	7
hsa-miR-610	auto_regulate	1
hsa-miR-610	no_feedback	1
hsa-miR-30b-5p	no_feedback	12
hsa-miR-30b-5p	auto_regulate	14
hsa-miR-1228-3p	no_feedback	5
hsa-miR-1228-3p	auto_regulate	7
hsa-miR-449b-5p	no_feedback	5
hsa-miR-449b-5p	auto_regulate	6
hsa-miR-95-3p	auto_regulate	2
hsa-miR-142-3p	no_feedback	9
hsa-miR-142-3p	auto_regulate	10
hsa-miR-633	no_feedback	2
hsa-miR-633	auto_regulate	1
hsa-miR-520e	no_feedback	10
hsa-miR-520e	auto_regulate	15
hsa-miR-629-5p	no_feedback	4
hsa-miR-629-5p	auto_regulate	4
hsa-miR-1245a	auto_regulate	2
hsa-miR-1245a	no_feedback	1
hsa-miR-128b	auto_regulate	1
hsa-miR-1826	no_feedback	1
hsa-miR-129-2-3p	auto_regulate	4
hsa-miR-129-2-3p	no_feedback	1
hsa-miR-5787	no_feedback	5
hsa-miR-5787	auto_regulate	6
hsa-miR-595	auto_regulate	1
hsa-miR-595	no_feedback	1
hsa-miR-30e-3p	auto_regulate	7
hsa-miR-484	auto_regulate	21
hsa-miR-484	no_feedback	17
hsa-miR-125a-3p	no_feedback	4
hsa-miR-125a-3p	auto_regulate	12
hsa-miR-762	no_feedback	4
hsa-miR-762	auto_regulate	5
hsa-miR-136-5p	no_feedback	5
hsa-miR-136-5p	auto_regulate	2
hsa-miR-642a-5p	auto_regulate	5
hsa-miR-524-5p	no_feedback	8
hsa-miR-524-5p	auto_regulate	7
hsa-miR-498	no_feedback	4
hsa-miR-498	auto_regulate	4
hsa-miR-139-5p	auto_regulate	6
hsa-miR-139-5p	no_feedback	2
hsa-miR-337-3p	auto_regulate	3
hsa-miR-337-3p	no_feedback	3
hsa-miR-513a-3p	auto_regulate	9
hsa-miR-513a-3p	no_feedback	5
hsa-miR-296-3p	auto_regulate	11
