protien	auto	count
ZNF584	no_feedback	114
JUNB	no_feedback	28
ZNF318	no_feedback	14
E2F4	no_feedback	33
ZNF274	auto_regulate	21
HOXB7	no_feedback	4
BCL11A	auto_regulate	17
RFX5	no_feedback	4
SMC3	no_feedback	25
MBD1	auto_regulate	32
BHLHE40	auto_regulate	34
GABPA	no_feedback	24
TCF3	auto_regulate	45
SVIL	auto_regulate	4
ZNF83	no_feedback	50
STAG1	auto_regulate	19
EED	auto_regulate	27
NR2F1	no_feedback	2
DIDO1	auto_regulate	19
SIX2	no_feedback	1
PROX1	auto_regulate	33
HDAC6	no_feedback	5
OCA2	no_feedback	12
TEAD4	auto_regulate	3
PGR	auto_regulate	3
EGR1	auto_regulate	8
CEBPA	no_feedback	8
KAT2A	no_feedback	8
ATF7	auto_regulate	2
ZC3H11A	no_feedback	42
EGLN2	auto_regulate	12
TBP	no_feedback	2
ARID2	auto_regulate	34
CBFB	auto_regulate	28
CUX1	auto_regulate	7
FLI1	auto_regulate	3
ESRRA	no_feedback	8
KDM1A	auto_regulate	6
NKX3-1	auto_regulate	5
TRIM24	auto_regulate	26
CHD7	no_feedback	33
SETDB1	no_feedback	23
ERG	auto_regulate	5
HDAC2	no_feedback	6
NFKB2	auto_regulate	4
CTBP2	auto_regulate	18
BCL3	auto_regulate	36
NBN	auto_regulate	3
HHEX	no_feedback	2
ZNF24	auto_regulate	62
SREBF1	auto_regulate	55
SREBF2	no_feedback	36
ZNF592	no_feedback	11
CREBBP	auto_regulate	47
MED1	no_feedback	6
TEAD1	auto_regulate	50
E2F6	no_feedback	81
LHX2	auto_regulate	2
ZNF740	no_feedback	59
PIAS1	auto_regulate	21
ICE2	no_feedback	1
MLLT3	no_feedback	10
RFX2	no_feedback	9
EOMES	auto_regulate	3
CBFA2T2	auto_regulate	30
ASH2L	no_feedback	20
NR5A2	no_feedback	9
SMC4	no_feedback	20
CEBPZ	no_feedback	1
STAT2	auto_regulate	63
USF2	no_feedback	14
HSF1	auto_regulate	2
ZNF639	no_feedback	49
ZC3H8	no_feedback	24
CIITA	auto_regulate	24
NKX2-1	auto_regulate	8
NEUROD1	no_feedback	26
DDX20	no_feedback	8
CRY1	no_feedback	1
MYOD1	auto_regulate	3
ARID1B	no_feedback	26
ASCL1	no_feedback	18
ATF1	auto_regulate	5
SIN3B	auto_regulate	17
SIX5	auto_regulate	34
CDK7	no_feedback	3
PML	auto_regulate	3
STAT5B	no_feedback	25
KDM5B	auto_regulate	28
KDM4C	auto_regulate	3
SOX13	no_feedback	2
JUND	auto_regulate	27
EHF	no_feedback	1
BHLHE22	no_feedback	8
LYL1	auto_regulate	2
GATA1	auto_regulate	1
EBF1	auto_regulate	8
KDM4B	auto_regulate	5
TBL1X	auto_regulate	13
CEBPD	auto_regulate	28
ELK1	auto_regulate	54
BDP1	no_feedback	53
CXXC4	no_feedback	11
WRNIP1	no_feedback	3
CHD2	no_feedback	4
PRKDC	no_feedback	2
HDAC8	auto_regulate	4
CREB3L1	auto_regulate	1
BRF2	no_feedback	1
SIRT3	no_feedback	13
IKZF1	auto_regulate	4
TCF25	no_feedback	3
ETV6	auto_regulate	32
BRF1	no_feedback	2
JMJD6	auto_regulate	3
SAP30	auto_regulate	11
SUPT20H	no_feedback	2
NCOR1	no_feedback	6
TFDP1	no_feedback	51
FANCL	auto_regulate	5
NFRKB	no_feedback	11
FOXP2	auto_regulate	15
MED26	auto_regulate	19
ONECUT1	auto_regulate	15
ELF1	auto_regulate	1
ICE1	no_feedback	1
ETV4	auto_regulate	1
GSPT2	no_feedback	1
RELB	auto_regulate	1
BATF	auto_regulate	1
SNAPC4	no_feedback	3
USF1	no_feedback	4
ZNF165	no_feedback	2
ZNF263	no_feedback	2
T	auto_regulate	1
ELL	no_feedback	29
L3MBTL2	no_feedback	7
RAC3	no_feedback	24
PAX5	auto_regulate	37
ZHX2	auto_regulate	1
ZZZ3	no_feedback	13
HMGN3	no_feedback	15
TAF7	auto_regulate	22
ZBTB11	no_feedback	2
MYNN	no_feedback	2
